algorithm,type,size,time_us,comparisons
StdQuickSort,random,2400,5163.3,208457
StdMergeSort,random,2400,3958.8,34065
TernaryQuickSort,random,2400,7194.1,29191
StringMergeSort,random,2400,4585.8,21617
MSBRadixSort,random,2400,1533.1,0
MSBRadixHybrid,random,2400,3809.7,12116
StdQuickSort,reverse,2400,3900.3,175678
StdMergeSort,reverse,2400,3348.5,21598
TernaryQuickSort,reverse,2400,5006.3,22219
StringMergeSort,reverse,2400,3780.6,9357
MSBRadixSort,reverse,2400,1526.8,0
MSBRadixHybrid,reverse,2400,2863.3,9457
StdQuickSort,almost,2400,3797.7,178130
StdMergeSort,almost,2400,3878.5,24236
TernaryQuickSort,almost,2400,5091.1,22266
StringMergeSort,almost,2400,4089.1,9081
MSBRadixSort,almost,2400,1518.5,0
MSBRadixHybrid,almost,2400,2929.9,9504
StdQuickSort,random,2500,6228.3,216365
StdMergeSort,random,2500,3786.5,35726
TernaryQuickSort,random,2500,7519.7,30968
StringMergeSort,random,2500,4797.9,22659
MSBRadixSort,random,2500,1630.7,0
MSBRadixHybrid,random,2500,3932.2,12779
StdQuickSort,reverse,2500,4183.2,188392
StdMergeSort,reverse,2500,3463.4,22715
TernaryQuickSort,reverse,2500,5914.4,23313
StringMergeSort,reverse,2500,4621.4,9789
MSBRadixSort,reverse,2500,1576.6,0
MSBRadixHybrid,reverse,2500,3444.3,10029
StdQuickSort,almost,2500,3979.2,188957
StdMergeSort,almost,2500,3463.1,24976
TernaryQuickSort,almost,2500,5216.7,23365
StringMergeSort,almost,2500,4049.2,9432
MSBRadixSort,almost,2500,1655.8,0
MSBRadixHybrid,almost,2500,3502,10079
StdQuickSort,random,2600,7288.6,227659
StdMergeSort,random,2600,3827.2,37504
TernaryQuickSort,random,2600,7842,32266
StringMergeSort,random,2600,4885.7,23634
MSBRadixSort,random,2600,1680.3,0
MSBRadixHybrid,random,2600,4100.7,13433
StdQuickSort,reverse,2600,4319,201737
StdMergeSort,reverse,2600,3901.5,23811
TernaryQuickSort,reverse,2600,5725.6,24342
StringMergeSort,reverse,2600,4349.5,10190
MSBRadixSort,reverse,2600,1669.6,0
MSBRadixHybrid,reverse,2600,3324.4,10519
StdQuickSort,almost,2600,4631.3,199006
StdMergeSort,almost,2600,3917.2,24618
TernaryQuickSort,almost,2600,5800.5,24367
StringMergeSort,almost,2600,4254.5,9794
MSBRadixSort,almost,2600,1659.8,0
MSBRadixHybrid,almost,2600,3205,10544
StdQuickSort,random,2700,7151.2,236285
StdMergeSort,random,2700,3970,39207
TernaryQuickSort,random,2700,8449.3,33822
StringMergeSort,random,2700,6564.5,24687
